file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\mongo-java-driver\driver-sync\src\test\functional\com\mongodb\client\AbstractDnsConfigurationTest.java,com.mongodb.client.AbstractDnsConfigurationTest,class,11,13,2,11,3,1,1,14,3,0,0,0,3,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,4,2,11,0,16,1,2,0,4,34,1025,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\mql\MqlNumber.java,com.mongodb.client.model.mql.MqlNumber,interface,10,20,10,10,15,1,0,6,105,0,0,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,8,29,4,0,0,0,0,4,0,0,0,0,0,0,0,0,85,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\geojson\codecs\AbstractGeometryCodec.java,com.mongodb.client.model.geojson.codecs.AbstractGeometryCodec,class,10,19,9,10,4,1,0,3,2,0.5,0.33333334,0.5,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,2,17,2,0,0,0,0,0,0,2,0,2,0,0,0,0,18,1024,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\mql\MqlInteger.java,com.mongodb.client.model.mql.MqlInteger,interface,9,23,14,9,12,1,0,4,66,0,0,0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\connection\TlsChannelStreamFactoryFactory.java,com.mongodb.internal.connection.TlsChannelStreamFactoryFactory$SelectorMonitor$Pair,innerclass,0,0,0,0,1,1,0,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,26,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\test\unit\org\bson\json\JsonStringBufferTest.java,org.bson.json.JsonStringBufferTest,class,4,4,0,4,4,1,0,5,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,4,3,4,0,4,0,0,0,1,16,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\MongoQueryException.java,com.mongodb.MongoQueryException,class,3,10,7,3,1,7,1,0,0,1,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,32,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\search\DateRangeSearchOperator.java,com.mongodb.client.model.search.DateRangeSearchOperator,interface,6,9,3,6,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\connection\InetAddressUtils.java,com.mongodb.internal.connection.InetAddressUtils,class,3,5,2,3,69,1,0,23,64,0.8958334,0,0,12,11,0,9,0,3,3,0,0,0,4,4,0,4,0,0,4,0,18,219,28,9,27,3,7,3,67,57,20,40,4,0,0,0,200,16,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\main\org\bson\codecs\pojo\FallbackPropertyCodecProvider.java,org.bson.codecs.pojo.FallbackPropertyCodecProvider,class,8,9,1,8,3,1,0,3,0,0,1,1,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,15,2,0,1,0,0,1,0,3,0,3,1,0,0,0,10,16,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\main\org\bson\RawBsonArray.java,org.bson.RawBsonArray,class,8,11,3,8,19,5,0,5,69,0.754386,0.375,0.375,19,0,15,3,0,1,16,0,0,0,3,2,0,3,0,0,3,0,1,232,5,0,0,0,0,3,2,3,0,3,0,0,2,0,119,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\InsertOneModel.java,com.mongodb.client.model.InsertOneModel,class,3,3,0,3,3,2,0,1,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,3,0,1,2,1,0,0,0,0,34,17,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\main\org\bson\codecs\AtomicLongCodec.java,org.bson.codecs.AtomicLongCodec,class,6,7,1,6,3,1,0,3,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\main\org\bson\codecs\OverridableUuidRepresentationUuidCodec.java,org.bson.codecs.OverridableUuidRepresentationUuidCodec,class,5,7,2,5,4,2,0,2,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,36,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-benchmarks\src\main\com\mongodb\benchmark\framework\Benchmark.java,com.mongodb.benchmark.framework.Benchmark,class,2,14,12,2,11,1,2,4,55,0.9545455,0,0,11,0,7,1,3,0,10,3,0,0,2,2,0,0,1,1,2,0,3,27,4,0,0,0,0,1,1,2,3,2,0,0,0,0,42,1025,0
