file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\cloudstack\server\src\main\java\com\cloud\network\ExternalFirewallDeviceManagerImpl.java,com.cloud.network.ExternalFirewallDeviceManagerImpl,class,82,83,1,82,127,2,0,130,170,0.9099999,0.21666667,0.6333333,25,0,21,0,4,0,25,0,0,0,28,0,0,1,0,27,0,0,9,552,38,11,60,8,27,92,21,148,31,163,4,1,0,0,306,1025,18
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\network\dao\NetworkDetailVO.java,com.cloud.network.dao.NetworkDetailVO,class,6,8,2,6,9,1,0,0,20,0.75555557,0.22222222,0.5833333,9,0,9,0,0,0,9,0,0,0,5,0,0,5,0,0,0,0,0,36,5,0,0,0,0,6,1,7,0,5,0,0,0,0,20,1,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\storage\template\HttpTemplateDownloader.java,com.cloud.storage.template.HttpTemplateDownloader$Anonymous1,anonymous,2,2,0,2,4,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,1,0,0,0,1,0,0,0,13,-1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\gpu\HostGpuGroupsVO.java,com.cloud.gpu.HostGpuGroupsVO,class,6,9,3,6,7,1,0,0,9,0.6666667,0.2857143,0.47619048,7,0,6,0,1,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,3,0,0,0,0,4,0,4,0,3,0,0,0,0,17,1,0
E:\Sowmya_git_projects\cloudstack\plugins\hypervisors\kvm\src\main\java\com\cloud\hypervisor\kvm\resource\wrapper\LibvirtGetVmStatsCommandWrapper.java,com.cloud.hypervisor.kvm.resource.wrapper.LibvirtGetVmStatsCommandWrapper,class,9,9,0,9,5,2,0,8,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,2,1,1,2,0,3,0,5,2,5,4,0,0,0,26,17,2
E:\Sowmya_git_projects\cloudstack\engine\api\src\main\java\org\apache\cloudstack\engine\cloud\entity\api\VolumeEntity.java,org.apache.cloudstack.engine.cloud.entity.api.VolumeEntity,interface,6,13,7,6,12,1,0,0,66,0,0,0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0
E:\Sowmya_git_projects\cloudstack\api\src\main\java\com\cloud\agent\api\to\deployasis\OVFPropertyTO.java,com.cloud.agent.api.to.deployasis.OVFPropertyTO,class,2,4,2,2,21,1,0,0,158,0.8666667,0.123809524,0.8142857,21,0,21,0,0,0,21,0,0,0,10,0,0,10,0,0,0,0,0,83,11,0,0,0,0,0,0,18,0,10,0,0,0,0,80,1,0
E:\Sowmya_git_projects\cloudstack\plugins\backup\veeam\src\main\java\org\apache\cloudstack\backup\veeam\api\BackupFiles.java,org.apache.cloudstack.backup.veeam.api.BackupFiles,class,4,5,1,4,2,1,0,0,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,3,0,1,0,1,0,0,0,0,8,1,0
E:\Sowmya_git_projects\cloudstack\plugins\hypervisors\xenserver\src\main\java\com\cloud\hypervisor\xenserver\resource\wrapper\xenbase\CitrixGetVmStatsCommandWrapper.java,com.cloud.hypervisor.xenserver.resource.wrapper.xenbase.CitrixGetVmStatsCommandWrapper,class,9,9,0,9,7,2,0,17,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,5,2,2,1,0,2,1,8,2,8,2,0,0,0,36,17,2
E:\Sowmya_git_projects\cloudstack\services\secondary-storage\server\src\main\java\org\apache\cloudstack\storage\resource\SecondaryStorageDiscoverer.java,org.apache.cloudstack.storage.resource.SecondaryStorageDiscoverer,class,18,19,1,18,48,2,0,49,33,0.8625001,0.16666667,0.16666667,10,0,5,1,4,0,9,0,0,0,8,0,0,0,4,4,0,0,9,219,25,4,6,4,0,56,4,41,5,33,3,0,0,0,117,1,13
E:\Sowmya_git_projects\cloudstack\plugins\hypervisors\ovm3\src\main\java\com\cloud\hypervisor\ovm3\resources\Ovm3Discoverer.java,com.cloud.hypervisor.ovm3.resources.Ovm3Discoverer,class,30,31,1,30,50,2,0,55,239,0.9323672,0.033333335,0.04761905,23,0,20,2,1,0,21,0,0,0,9,0,0,0,4,5,0,0,7,241,24,0,19,1,5,64,5,42,17,44,2,0,0,0,157,1,26
E:\Sowmya_git_projects\cloudstack\plugins\storage\sharedfs\storagevm\src\main\java\org\apache\cloudstack\storage\sharedfs\provider\StorageVmSharedFSProvider.java,org.apache.cloudstack.storage.sharedfs.provider.StorageVmSharedFSProvider,class,6,7,1,6,5,2,0,4,8,0.75,0.1,0.1,5,0,5,0,0,0,5,0,0,0,4,2,2,0,2,0,2,0,1,21,4,0,0,0,0,8,0,4,0,4,0,0,0,0,48,1,0
E:\Sowmya_git_projects\cloudstack\utils\src\main\java\org\apache\cloudstack\utils\bytescale\ByteScaleUtils.java,org.apache.cloudstack.utils.bytescale.ByteScaleUtils,class,0,1,1,0,5,1,0,0,8,0.73333335,0.16666667,0.16666667,5,4,4,1,0,0,4,0,0,0,3,3,3,0,0,0,3,0,0,19,4,0,0,0,0,0,3,3,6,3,0,0,0,0,35,1,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\agent\api\PlugNicCommand.java,com.cloud.agent.api.PlugNicCommand,class,3,4,1,3,8,2,0,0,12,0.65625,0.2857143,0.53571427,8,0,7,0,1,0,8,0,0,0,4,0,0,0,0,4,0,0,0,34,5,0,0,0,0,0,0,7,0,4,0,0,0,0,21,1,0
E:\Sowmya_git_projects\cloudstack\plugins\network-elements\tungsten\src\main\java\org\apache\cloudstack\network\tungsten\agent\api\DeleteTungstenFloatingIpPoolCommand.java,org.apache.cloudstack.network.tungsten.agent.api.DeleteTungstenFloatingIpPoolCommand,class,2,7,5,2,9,3,0,5,0,0.2,0.9,1,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,3,24,7,0,3,0,0,0,0,3,0,3,1,0,0,0,23,1,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\agent\api\PingRoutingWithNwGroupsCommand.java,com.cloud.agent.api.PingRoutingWithNwGroupsCommand,class,4,4,0,4,4,4,0,0,0,0.25,0.5,0.5,4,0,3,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,16,1,0,0,0,0,0,0,2,0,1,0,0,0,0,14,1,0
E:\Sowmya_git_projects\cloudstack\plugins\hypervisors\ovm3\src\main\java\com\cloud\hypervisor\ovm3\objects\Repository.java,com.cloud.hypervisor.ovm3.objects.Repository$RepoDbDetails,innerclass,0,0,0,0,11,1,0,3,0,0.54545456,0.8181818,0.8181818,11,0,11,0,0,0,11,0,0,0,2,1,0,2,0,0,2,0,0,49,8,0,0,0,0,8,1,2,0,2,0,1,0,0,32,9,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\agent\resource\virtualnetwork\model\IcmpAclRule.java,com.cloud.agent.resource.virtualnetwork.model.IcmpAclRule,class,1,2,1,1,6,2,0,0,3,0.6666667,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,1,0,0,24,2,0,0,0,0,1,0,5,0,3,0,0,0,0,9,1,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\agent\api\storage\PrimaryStorageDownloadCommand.java,com.cloud.agent.api.storage.PrimaryStorageDownloadCommand,class,4,5,1,4,12,5,0,3,54,0.8333333,0.09090909,0.13636364,12,0,11,0,1,0,12,0,0,0,6,0,0,0,0,6,0,0,0,47,7,0,0,0,0,0,0,6,0,6,0,0,0,0,31,1,0
E:\Sowmya_git_projects\cloudstack\server\src\main\java\com\cloud\network\ExternalDeviceUsageManagerImpl.java,com.cloud.network.ExternalDeviceUsageManagerImpl,class,52,54,2,52,33,3,0,39,41,0.932258,0.0952381,0.0952381,10,0,7,3,0,0,7,0,0,0,31,0,0,1,1,29,0,0,1,516,16,0,17,0,3,16,10,39,5,60,4,1,1,0,143,1,6
E:\Sowmya_git_projects\cloudstack\plugins\event-bus\webhook\src\main\java\org\apache\cloudstack\mom\webhook\WebhookEventBus.java,org.apache.cloudstack.mom.webhook.WebhookEventBus,class,10,12,2,10,8,2,0,3,28,0.9583333,0,0,8,0,8,0,0,0,8,0,0,0,3,2,0,1,1,1,0,0,1,29,5,0,0,0,0,0,0,3,0,3,0,0,0,0,37,1,0
E:\Sowmya_git_projects\cloudstack\server\src\test\java\com\cloud\api\APITest.java,com.cloud.api.APITest,class,5,7,2,5,24,1,1,43,6,0.75,0,0,4,0,0,0,4,0,4,0,0,0,3,0,0,0,3,0,0,0,2,112,4,4,7,4,2,26,18,36,13,30,4,0,0,0,122,1025,0
E:\Sowmya_git_projects\cloudstack\api\src\main\java\org\apache\cloudstack\api\response\Ipv4RouteResponse.java,org.apache.cloudstack.api.response.Ipv4RouteResponse,class,3,6,3,3,6,2,0,0,3,0.5,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,2,0,4,0,2,0,0,0,0,14,1,0
E:\Sowmya_git_projects\cloudstack\plugins\database\quota\src\main\java\org\apache\cloudstack\api\response\QuotaUpdateResponse.java,org.apache.cloudstack.api.response.QuotaUpdateResponse,class,3,3,0,3,1,2,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\org\apache\cloudstack\engine\cloud\entity\api\db\dao\VMComputeTagDaoImpl.java,org.apache.cloudstack.engine.cloud.entity.api.db.dao.VMComputeTagDaoImpl,class,9,10,1,9,8,2,0,18,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,37,1,2,1,0,0,3,1,8,0,7,3,0,0,0,29,1,0
E:\Sowmya_git_projects\cloudstack\server\src\main\java\com\cloud\network\as\AutoScaleManagerImpl.java,com.cloud.network.as.AutoScaleManagerImpl$Anonymous2,anonymous,8,8,0,8,7,1,0,21,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,2,0,0,5,3,8,2,7,3,0,0,0,48,-1,0
