file,class,method,variable,usage
E:\Sowmya_git_projects\slf4j\jcl-over-slf4j\src\main\java\org\apache\commons\logging\impl\SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,setLevel/1[int],currentLogLevel,4
E:\Sowmya_git_projects\slf4j\jcl-over-slf4j\src\main\java\org\apache\commons\logging\impl\SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,isLevelEnabled/1[int],currentLogLevel,1
E:\Sowmya_git_projects\slf4j\jcl-over-slf4j\src\main\java\org\apache\commons\logging\impl\SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,getLevel/0,currentLogLevel,1
E:\Sowmya_git_projects\slf4j\jcl-over-slf4j\src\main\java\org\apache\commons\logging\impl\SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,SimpleLog/1[java.lang.String],logName,2
E:\Sowmya_git_projects\slf4j\jcl-over-slf4j\src\main\java\org\apache\commons\logging\impl\SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,SimpleLog/1[java.lang.String],systemPrefix,3
E:\Sowmya_git_projects\slf4j\slf4j-reload4j\src\main\java\org\slf4j\reload4j\Reload4jMDCAdapter.java,org.slf4j.reload4j.Reload4jMDCAdapter,popByKey/1[java.lang.String],threadLocalMapOfDeques,1
E:\Sowmya_git_projects\slf4j\slf4j-reload4j\src\main\java\org\slf4j\reload4j\Reload4jMDCAdapter.java,org.slf4j.reload4j.Reload4jMDCAdapter,getCopyOfDequeByKey/1[java.lang.String],threadLocalMapOfDeques,1
E:\Sowmya_git_projects\slf4j\slf4j-reload4j\src\main\java\org\slf4j\reload4j\Reload4jMDCAdapter.java,org.slf4j.reload4j.Reload4jMDCAdapter,"pushByKey/2[java.lang.String,java.lang.String]",threadLocalMapOfDeques,1
E:\Sowmya_git_projects\slf4j\slf4j-reload4j\src\main\java\org\slf4j\reload4j\Reload4jMDCAdapter.java,org.slf4j.reload4j.Reload4jMDCAdapter,clearDequeByKey/1[java.lang.String],threadLocalMapOfDeques,1
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\line\Log4jRuleSetTest.java,org.slf4j.migrator.line.Log4jRuleSetTest,testImportReplacement/0,log4jConverter,2
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\line\Log4jRuleSetTest.java,org.slf4j.migrator.line.Log4jRuleSetTest,testLogManagerGetLoggerReplacement/0,log4jConverter,7
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\line\Log4jRuleSetTest.java,org.slf4j.migrator.line.Log4jRuleSetTest,testMultiLineReplacement/0,log4jConverter,4
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\line\Log4jRuleSetTest.java,org.slf4j.migrator.line.Log4jRuleSetTest,testLogDeclarationReplacement/0,log4jConverter,5
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\line\Log4jRuleSetTest.java,org.slf4j.migrator.line.Log4jRuleSetTest,testLoggerGetLoggerReplacement/0,log4jConverter,7
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\line\Log4jRuleSetTest.java,org.slf4j.migrator.line.Log4jRuleSetTest,categoryReplacement/0,log4jConverter,2
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\helper\RandomHelper.java,org.slf4j.migrator.helper.RandomHelper,nextInt/1[int],random,1
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\helper\RandomHelper.java,org.slf4j.migrator.helper.RandomHelper,"buildRandomFileName/2[int,int]",random,1
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\helper\RandomHelper.java,org.slf4j.migrator.helper.RandomHelper,RandomHelper/1[char],folderSeparator,3
E:\Sowmya_git_projects\slf4j\slf4j-migrator\src\test\java\org\slf4j\migrator\helper\RandomHelper.java,org.slf4j.migrator.helper.RandomHelper,randomString/1[int],random,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\Util.java,org.slf4j.helpers.Util,getSecurityManager/0,SECURITY_MANAGER_CREATION_ALREADY_ATTEMPTED,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\Util.java,org.slf4j.helpers.Util,getSecurityManager/0,SECURITY_MANAGER,4
E:\Sowmya_git_projects\slf4j\log4j-over-slf4j\src\main\java\org\apache\log4j\Level.java,org.apache.log4j.Level,toLevel/1[int],DEBUG,1
E:\Sowmya_git_projects\slf4j\log4j-over-slf4j\src\main\java\org\apache\log4j\Level.java,org.apache.log4j.Level,toLevel/1[java.lang.String],DEBUG,1
E:\Sowmya_git_projects\slf4j\log4j-over-slf4j\src\main\java\org\apache\log4j\Level.java,org.apache.log4j.Level,"toLevel/2[int,org.apache.log4j.Level]",ALL,1
E:\Sowmya_git_projects\slf4j\log4j-over-slf4j\src\main\java\org\apache\log4j\Level.java,org.apache.log4j.Level,"toLevel/2[int,org.apache.log4j.Level]",TRACE_INT,1
E:\Sowmya_git_projects\slf4j\log4j-over-slf4j\src\main\java\org\apache\log4j\Level.java,org.apache.log4j.Level,"toLevel/2[int,org.apache.log4j.Level]",OFF,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,intToLevel/1[int],TRACE,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,intToLevel/1[int],levelInt,3
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,intToLevel/1[int],ERROR,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,intToLevel/1[int],INFO,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,intToLevel/1[int],DEBUG,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,intToLevel/1[int],WARN,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,"Level/2[int,java.lang.String]",levelInt,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,"Level/2[int,java.lang.String]",levelStr,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,toInt/0,levelInt,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\event\Level.java,org.slf4j.event.Level,toString/0,levelStr,1
E:\Sowmya_git_projects\slf4j\slf4j-jdk-platform-logging\src\main\java\org\slf4j\jdk\platform\logging\SLF4JPlatformLogger.java,org.slf4j.jdk.platform.logging.SLF4JPlatformLogger,"log/5[java.lang.System.Logger.Level,java.util.ResourceBundle,java.lang.String,java.lang.Throwable,java.lang.Object[]]",slf4jLogger,1
E:\Sowmya_git_projects\slf4j\slf4j-jdk-platform-logging\src\main\java\org\slf4j\jdk\platform\logging\SLF4JPlatformLogger.java,org.slf4j.jdk.platform.logging.SLF4JPlatformLogger,"performLog/5[org.slf4j.event.Level,java.util.ResourceBundle,java.lang.String,java.lang.Throwable,java.lang.Object[]]",PRESUMED_CALLER_BOUNDARY,1
E:\Sowmya_git_projects\slf4j\slf4j-jdk-platform-logging\src\main\java\org\slf4j\jdk\platform\logging\SLF4JPlatformLogger.java,org.slf4j.jdk.platform.logging.SLF4JPlatformLogger,"performLog/5[org.slf4j.event.Level,java.util.ResourceBundle,java.lang.String,java.lang.Throwable,java.lang.Object[]]",slf4jLogger,1
E:\Sowmya_git_projects\slf4j\slf4j-jdk-platform-logging\src\main\java\org\slf4j\jdk\platform\logging\SLF4JPlatformLogger.java,org.slf4j.jdk.platform.logging.SLF4JPlatformLogger,SLF4JPlatformLogger/1[org.slf4j.Logger],slf4jLogger,1
E:\Sowmya_git_projects\slf4j\slf4j-jdk-platform-logging\src\main\java\org\slf4j\jdk\platform\logging\SLF4JPlatformLogger.java,org.slf4j.jdk.platform.logging.SLF4JPlatformLogger,getName/0,slf4jLogger,1
E:\Sowmya_git_projects\slf4j\slf4j-jdk-platform-logging\src\main\java\org\slf4j\jdk\platform\logging\SLF4JPlatformLogger.java,org.slf4j.jdk.platform.logging.SLF4JPlatformLogger,isLoggable/1[java.lang.System.Logger.Level],slf4jLogger,1
E:\Sowmya_git_projects\slf4j\slf4j-reload4j\src\main\java\org\slf4j\reload4j\Reload4jLoggerFactory.java,org.slf4j.reload4j.Reload4jLoggerFactory,Reload4jLoggerFactory/0,loggerMap,1
